PPE GROUP,SUBGROUP,GRAP DESCRIPTION,ITEM BARCODE NUMBER,ITEM DESCRIPTION,MODEL,REGISTRATION/SERIAL NUMBER,WIDTH,GRADING,DIAMETRE,LENGTH,ITEM CONDITION,LIFE SPAN/MONTHS,QUANTITY,IN USE,GIS_ID,TOWN NAME,LAT_START,LONG_START,LAT_END,LONG_END,STAND NUMBER,STREET NAME,LAND DESCRIPTION,BUILDING DESCRIPTION,FLOOR NUMBER,ROOM BARCODE NUMBER,ROOM NAME,DEPARTMENT
INFRASTRUCTURE,WATER,PIPELINE,WL1249,50mm AC,N/A,N/A,N/A,N/A,50,892.21,FAIR,240,N/A,IN USE,WL1249,REITZ,"27° 47' 24.579"" S "," 28° 26' 8.030"" N "," 27° 47' 12.698"" S "," 28° 26' 32.425"" N",1280,CONVENTION STR,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL1250,50mm AC,N/A,N/A,N/A,N/A,50,211.01,FAIR,240,N/A,IN USE,WL1250,REITZ,"27° 47' 29.494"" S "," 28° 26' 2.659"" N "," 27° 47' 24.579"" S "," 28° 26' 8.030"" N",1294,DERDE STR,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL1251,50mm AC,N/A,N/A,N/A,N/A,50,19.04,FAIR,240,N/A,IN USE,WL1251,REITZ,"27° 47' 40.984"" S "," 28° 25' 59.317"" N "," 27° 47' 41.594"" S "," 28° 25' 59.203"" N",1000,SKOOL STR,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL1394,50mm AC,N/A,N/A,N/A,N/A,50,243.23,FAIR,240,N/A,IN USE,WL1394,REITZ,"27° 48' 10.008"" S "," 28° 25' 55.364"" N "," 27° 48' 5.269"" S "," 28° 25' 59.215"" N",1345,LAND STR,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL808,50mm AC,N/A,N/A,N/A,N/A,50,170.63,FAIR,240,N/A,IN USE,WL808,REITZ,"27° 48' 5.935"" S "," 28° 26' 3.792"" N "," 27° 48' 6.732"" S "," 28° 26' 9.959"" N",1067,KERK STR,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL865,50mm AC,N/A,N/A,N/A,N/A,50,109.81,FAIR,240,N/A,IN USE,WL865,REITZ,"27° 48' 37.118"" S "," 28° 25' 35.062"" N "," 27° 48' 37.111"" S "," 28° 25' 39.004"" N",1128,50 A,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL866,50mm AC,N/A,N/A,N/A,N/A,50,127.86,FAIR,240,N/A,IN USE,WL866,REITZ,"27° 48' 37.111"" S "," 28° 25' 39.004"" N "," 27° 48' 37.491"" S "," 28° 25' 43.654"" N",1129,52 AVE,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL867,50mm AC,N/A,N/A,N/A,N/A,50,114.18,FAIR,240,N/A,IN USE,WL867,REITZ,"27° 48' 38.457"" S "," 28° 25' 31.173"" N "," 27° 48' 37.118"" S "," 28° 25' 35.062"" N",1130,61 AVE,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL868,50mm AC,N/A,N/A,N/A,N/A,50,121.48,FAIR,240,N/A,IN USE,WL868,REITZ,"27° 48' 37.491"" S "," 28° 25' 43.654"" N "," 27° 48' 37.852"" S "," 28° 25' 48.073"" N",1131,53 AVE,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL1391,50mm AC,N/A,N/A,N/A,N/A,50,142.92,FAIR,240,N/A,IN USE,WL1391,REITZ,"27° 48' 6.712"" S "," 28° 26' 9.959"" N "," 27° 48' 11.300"" S "," 28° 26' 9.172"" N",1342,THERON STR,N/A,N/A,N/A,N/A,N/A,WATER
